ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
52,NARINO,52490,OLAYA HERRERA,52490913,BOCAS DE PRIETA (OLAYA HERRERA - NARIÑO),2020,02,"3,266",634.04,21.67,Lunes,02/10/2020 07:45:00 PM,5.52
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,02,"13,909","7,296.02",110.27,Jueves,02/27/2020 07:00:00 PM,5.48
27,CHOCO,27006,ACANDI,27006003,CAPURGANA (ACANDI - CHOCO),2020,02,"234,420","96,511.73",570.24,Martes,02/18/2020 09:45:00 PM,18.36
97,VAUPES,97161,CARURU,97161000,CARURÚ (CARURÚ - VAUPÉS),2020,02,"25,277","9,295.02",104.72,Lunes,02/17/2020 07:15:00 PM,12.14
99,VICHADA,99001,PUERTO CARREÑO,99001002,CASUARITO (PUERTO CARREÑO - VICHADA),2020,02,"13,438","5,546.73",127.95,Lunes,02/24/2020 07:45:00 PM,5.9
19,CAUCA,19809,TIMBIQUI,19809014,CHACÓN (TIMBIQUÍ - CÁUCA),2020,02,"2,019",363.6,26.64,Sábado,02/01/2020 07:15:00 PM,3.12
52,NARINO,52835,TUMACO,52835012,CHAJAL (TUMACO - NARIÑO),2020,02,"4,599","1,354.23",136.84,Lunes,02/24/2020 07:30:00 PM,1.26
27,CHOCO,27025,ALTO BAUDO (PIE DE PATO),27025000,CIUDAD BAUDO (ALTO BAUDO (PIE DE PATO) - CHOCO),2020,02,"36,727","9,888.45",143.18,Domingo,02/04/2020 07:30:00 PM,15.4
19,CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020,02,"2,489",695.01,40.03,Viernes,02/21/2020 07:30:00 PM,2.3
27,CHOCO,27495,NUQUI,27495912,COMUNIDAD INDÍGENA DE PANGUI - (EL YUCAL) (NUQUI - CHOCO),2020,02,"2,395",799.65,11.21,Jueves,02/27/2020 06:30:00 PM,11.38
19,CAUCA,19809,TIMBIQUI,19809003,COTEJE (TIMBIQUÍ - CAUCA),2020,02,"4,501","2,754.13",34.88,Sábado,02/01/2020 07:30:00 PM,5.12
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO (CUMARIBO - VICHADA),2020,02,"268,753","113,805.78",624.36,Martes,02/25/2020 06:15:00 PM,19.35
27,CHOCO,27075,BAHIA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO (MUTIS) - CHOCO),2020,02,"57,082","24,303.65",138.34,Viernes,02/14/2020 07:30:00 PM,23.36
19,CAUCA,19418,LOPEZ (MICAY),19418011,DOS QUEBRADAS NAYA (LÓPEZ (MICAY) - CAUCA),2020,02,"6,035","1,888.88",43.65,Martes,02/04/2020 07:30:00 PM,5.47
52,NARINO,52250,EL CHARCO,52250022,EL CUIL PUEBLO NUEVO (EL CHARCO - NARIÑO),2020,02,"5,736","1,889.08",33.66,Sábado,02/15/2020 06:45:00 PM,6.54
27,CHOCO,27075,BAHIA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO (MUTIS) - CHOCO),2020,02,"140,237","65,924.5",327.1,Miércoles,02/19/2020 07:15:00 PM,23.42
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUAN - CAQUETÁ),2020,02,"12,257","5,917.42",40.15,Sábado,02/15/2020 07:15:00 PM,18.1
94,GUAINIA,94001,INIRIDA,94001000,INíRIDA (INíRIDA - GUAINíA),2020,02,"1,675,109","565,033.7","3,199.68",Lunes,02/17/2020 02:45:00 PM,23.56
19,CAUCA,19418,LOPEZ (MICAY),19418038,ISLA DE GALLO (LOPEZ (MICAY) - CAUCA),2020,02,"2,834",904.78,26.34,Viernes,02/14/2020 06:30:00 PM,4.35
13,BOLIVAR,13001,CARTAGENA,13001007,ISLA FUERTE (CARTAGENA - BOLíVAR),2020,02,"15,514","8,485.81",114.57,Domingo,02/16/2020 02:15:00 PM,5.37
13,BOLIVAR,13001,CARTAGENA,13001037,ISLA MúCURA (CARTAGENA - BOLíVAR),2020,02,"6,477","2,891.54",25.54,Viernes,02/14/2020 10:00:00 PM,10.49
52,NARINO,52696,SANTA BARBARA (ISCUANDE),52696014,LA ENSENADA (SANTA BARBARA (ISCUANDE) - NARIÑO),2020,02,"4,071","4,701.64",27.49,Domingo,02/16/2020 07:30:00 PM,5.44
27,CHOCO,27099,BOJAYA (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCO),2020,02,"13,764","5,166.4",83.2,Domingo,02/16/2020 07:30:00 PM,7.42
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2020,02,"357,737","181,788.76",740.6,Miércoles,02/26/2020 06:45:00 PM,24
52,NARINO,52390,LA TOLA,52390003,LA VIGÍA (LA TOLA - NARIÑO),2020,02,"5,760","1,916.58",30.52,Martes,02/25/2020 12:30:00 PM,8.27
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,02,"3,718,227","1,157,331","7,347.36",Miércoles,02/05/2020 02:30:00 PM,24
19,CAUCA,19809,TIMBIQUI,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020,02,"7,857","1,300.84",52.3,Martes,02/11/2020 07:30:00 PM,6.2
50,META,50325,MAPIRIPAN,50325000,MAPIRIPÁN (MAPIRIPÁN - META),2020,02,"135,154","54,443.18",311.52,Viernes,02/28/2020 06:45:00 PM,23.1
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES (MIRAFLORES - GUAVIARE),2020,02,"78,132","28,047.8",212.08,Viernes,02/28/2020 06:30:00 PM,18.28
97,VAUPES,97001,MITU,97001000,MITÚ (MITÚ - VAUPÉS),2020,02,"1,233,505","370,018.56","2,597.37",Viernes,02/21/2020 11:45:00 AM,23.51
52,NARINO,52390,LA TOLA,52390009,MULATOS (LA TOLA - NARIÑO),2020,02,"3,772","2,320.3",34.11,Jueves,02/06/2020 06:30:00 PM,6.8
27,CHOCO,27075,BAHIA SOLANO (MUTIS),27075000,MUTIS (BAHIA SOLANO (MUTIS) - CHOCO),2020,02,"605,709","189,637.91","1,246.96",Miércoles,02/19/2020 07:30:00 PM,23.52
27,CHOCO,27099,BOJAYA (BELLAVISTA),27099005,NAPIPI (BOJAYÁ (BELLAVISTA) - CHOCO),2020,02,"8,794","4,992.8",60.8,Sábado,02/29/2020 09:15:00 PM,5.41
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2020,02,"28,110","12,670.35",223.44,Martes,02/25/2020 06:45:00 PM,6.11
19,CAUCA,19418,LOPEZ (MICAY),19418009,NOANAMITO (LÓPEZ (MICAY) - CAUCA),2020,02,"3,995","2,058",44,Miércoles,02/12/2020 07:15:00 PM,5.25
27,CHOCO,27495,NUQUI,27495000,NUQUI (NUQUI - CHOCO),2020,02,"186,164","60,987.7",527.3,Martes,02/18/2020 08:15:00 PM,19
47,MAGDALENA,47189,CIENAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2020,02,"88,621","32,499.17",186.75,Domingo,02/09/2020 06:30:00 PM,23.34
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUIZAMO - PUTUMAYO),2020,02,"3,342","1,620",28.8,Sábado,02/22/2020 08:45:00 PM,5.47
52,NARINO,52835,TUMACO,52835016,PITAL (TUMACO - NARIÑO),2020,02,"19,206","11,315",84,Sábado,02/15/2020 07:00:00 PM,10.29
27,CHOCO,27077,BAJO BAUDO (PIZARRO),27077000,PIZARRO (BAJO BAUDO (PIZARRO) - CHOCO),2020,02,"160,302","71,589.94",481.54,Viernes,02/07/2020 07:30:00 PM,17.35
88,ARCHIPIELAGO DE SAN ANDRES,88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS),2020,02,"938,090","321,284","1,610.85",Martes,02/18/2020 09:30:00 PM,24
